Matrix saved as results/braga/152/b1_c0.5/original_matrix.png
Matrix saved as results/braga/152/b1_c0.5/corrupted.png
[iter 0] λ=0.5000 → flips=204
[iter 1] λ=0.2500 → flips=0
[iter 2] λ=0.3750 → flips=31
[iter 3] λ=0.4375 → flips=108
[iter 4] λ=0.4688 → flips=142
[iter 5] λ=0.4531 → flips=132
[iter 6] λ=0.4609 → flips=138
[iter 7] λ=0.4570 → flips=138
[iter 8] λ=0.4551 → flips=138
[iter 9] λ=0.4541 → flips=138
[iter 10] λ=0.4536 → flips=132
[iter 11] λ=0.4539 → flips=134
[iter 12] λ=0.4540 → flips=138
[iter 13] λ=0.4539 → flips=134
[iter 14] λ=0.4539 → flips=134
[iter 15] λ=0.4540 → flips=134
[iter 16] λ=0.4540 → flips=134
[iter 17] λ=0.4540 → flips=134
[iter 18] λ=0.4540 → flips=138
[iter 19] λ=0.4540 → flips=138

Best λ=0.4539 → flips=134, correct=95/135
Number of flips performed: 134
Cell (Hypanartia_lethe,Amborellaceae): 0 -> 1
Cell (Hypanartia_lethe,Betulaceae): 0 -> 1
Cell (Hypanartia_bella,Rhamnaceae): 0 -> 1
Cell (Hypanartia_bella,Salicaceae): 0 -> 1
Cell (Hypanartia_bella,Grossulariaceae): 0 -> 1
Cell (Vanessa_itea,Chloranthaceae): 0 -> 1
Cell (Vanessa_itea,Smilacaceae): 0 -> 1
Cell (Vanessa_itea,Acoraceae): 0 -> 1
Cell (Vanessa_itea,Rosaceae): 0 -> 1
Cell (Vanessa_itea,Rhamnaceae): 0 -> 1
Cell (Vanessa_annabella,Schisandraceae): 0 -> 1
Cell (Vanessa_annabella,Aristolochiaceae): 0 -> 1
Cell (Vanessa_annabella,Typhaceae): 0 -> 1
Cell (Vanessa_annabella,Potamogetonaceae): 0 -> 1
Cell (Vanessa_annabella,Rhamnaceae): 0 -> 1
Cell (Vanessa_annabella,Malvaceae): 0 -> 1
Cell (Vanessa_hippomene,Amborellaceae): 0 -> 1
Cell (Vanessa_hippomene,Ceratophyllaceae): 0 -> 1
Cell (Vanessa_hippomene,Fabaceae): 0 -> 1
Cell (Vanessa_hippomene,Ulmaceae): 0 -> 1
Cell (Vanessa_hippomene,Salicaceae): 0 -> 1
Cell (Vanessa_dimorphica,Siparunaceae): 0 -> 1
