Matrix saved as results/braga/141/b4_c0.5/original_matrix.png
Matrix saved as results/braga/141/b4_c0.5/corrupted.png
[iter 0] λ=0.5000 → flips=0
[iter 1] λ=0.7500 → flips=17
[iter 2] λ=0.8750 → flips=725
[iter 3] λ=0.8125 → flips=725
[iter 4] λ=0.7812 → flips=22
[iter 5] λ=0.7969 → flips=25
[iter 6] λ=0.8047 → flips=725
[iter 7] λ=0.8008 → flips=725
[iter 8] λ=0.7988 → flips=725
[iter 9] λ=0.7979 → flips=725
[iter 10] λ=0.7974 → flips=25
[iter 11] λ=0.7976 → flips=25
[iter 12] λ=0.7977 → flips=725
[iter 13] λ=0.7977 → flips=725
[iter 14] λ=0.7976 → flips=725
[iter 15] λ=0.7976 → flips=25
[iter 16] λ=0.7976 → flips=25
[iter 17] λ=0.7976 → flips=725
[iter 18] λ=0.7976 → flips=725
[iter 19] λ=0.7976 → flips=725

Best λ=0.7969 → flips=25, correct=14/242
Number of flips performed: 25
Cell (Hypanartia_lethe,Typhaceae): 0 -> 1
Cell (Hypanartia_bella,Typhaceae): 0 -> 1
Cell (Nymphalis_californica,Nymphaeaceae): 0 -> 1
Cell (Nymphalis_californica,Potamogetonaceae): 0 -> 1
Cell (Nymphalis_californica,Ulmaceae): 0 -> 1
Cell (Nymphalis_californica,Cannabaceae): 0 -> 1
Cell (Nymphalis_californica,Urticaceae): 0 -> 1
Cell (Nymphalis_californica,Betulaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Amborellaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Schisandraceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Rosaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Rhamnaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Ulmaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Urticaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Betulaceae): 0 -> 1
Cell (Nymphalis_antiopa,Schisandraceae): 0 -> 1
Cell (Nymphalis_antiopa,Potamogetonaceae): 0 -> 1
Cell (Nymphalis_antiopa,Fabaceae): 0 -> 1
Cell (Nymphalis_antiopa,Ulmaceae): 0 -> 1
Cell (Nymphalis_antiopa,Cannabaceae): 0 -> 1
Cell (Nymphalis_antiopa,Betulaceae): 0 -> 1
Cell (Polygonia_interrogationis,Acoraceae): 0 -> 1
Cell (Polygonia_interrogationis,Urticaceae): 0 -> 1
Cell (Polygonia_comma,Urticaceae): 0 -> 1
Cell (Polygonia_progne,Nymphaeaceae): 0 -> 1
Matrix saved as results/braga/141/b4_c0.5/flipped_matrix.png
Metrics: {'precision': 0.56, 'recall': 0.05785123966942149, 'f1': 0.10486891385767791, 'TP': 14, 'FP': 11, 'FN': 228}
[Elbow detection] flip ≈ 22, λ ≈ 0.7755102040816326
Number of flips performed (elbow): 22
Cell (Hypanartia_lethe,Typhaceae): 0 -> 1
Cell (Hypanartia_bella,Typhaceae): 0 -> 1
Cell (Nymphalis_californica,Nymphaeaceae): 0 -> 1
Cell (Nymphalis_californica,Ulmaceae): 0 -> 1
Cell (Nymphalis_californica,Cannabaceae): 0 -> 1
Cell (Nymphalis_californica,Urticaceae): 0 -> 1
Cell (Nymphalis_californica,Betulaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Amborellaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Schisandraceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Rosaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Rhamnaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Ulmaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Urticaceae): 0 -> 1
Cell (Nymphalis_xanthomelas,Betulaceae): 0 -> 1
Cell (Nymphalis_antiopa,Schisandraceae): 0 -> 1
Cell (Nymphalis_antiopa,Fabaceae): 0 -> 1
Cell (Nymphalis_antiopa,Ulmaceae): 0 -> 1
Cell (Nymphalis_antiopa,Cannabaceae): 0 -> 1
Cell (Nymphalis_antiopa,Betulaceae): 0 -> 1
Cell (Polygonia_interrogationis,Urticaceae): 0 -> 1
Cell (Polygonia_comma,Urticaceae): 0 -> 1
Cell (Polygonia_progne,Nymphaeaceae): 0 -> 1
Matrix saved as results/braga/141/b4_c0.5/flipped_matrix_elbow.png
Elbow Metrics: {'precision': 0.5, 'recall': 0.045454545454545456, 'f1': 0.08333333333333334, 'TP': 11, 'FP': 11, 'FN': 231}
