[iter 0] λ=0.5000 → flips=3852
[iter 1] λ=0.7500 → flips=5798
[iter 2] λ=0.6250 → flips=5671
[iter 3] λ=0.5625 → flips=5237
[iter 4] λ=0.5312 → flips=4876
[iter 5] λ=0.5156 → flips=4749
[iter 6] λ=0.5078 → flips=4637
[iter 7] λ=0.5039 → flips=4449
[iter 8] λ=0.5020 → flips=4245
[iter 9] λ=0.5029 → flips=4348
[iter 10] λ=0.5034 → flips=4395

Best λ=0.5034 → flips=4395, correct=3530/4395
Number of flips performed: 4395
Cell (virus_11137,host_105295): 0 -> 1
Cell (virus_11137,host_375553): 0 -> 1
Cell (virus_11137,host_294653): 0 -> 1
Cell (virus_11137,host_2528591): 0 -> 1
Cell (virus_11137,host_225399): 0 -> 1
Cell (virus_11137,host_386774): 0 -> 1
Cell (virus_11137,host_392004): 0 -> 1
Cell (virus_11137,host_203696): 0 -> 1
Cell (virus_11137,host_98922): 0 -> 1
Cell (virus_11137,host_452654): 0 -> 1
Cell (virus_11137,host_225400): 0 -> 1
Cell (virus_11137,host_155035): 0 -> 1
Cell (virus_11137,host_376555): 0 -> 1
Cell (virus_11137,host_188570): 0 -> 1
Cell (virus_11137,host_867892): 0 -> 1
Cell (virus_11137,host_76837): 0 -> 1
Cell (virus_11137,host_608708): 0 -> 1
Cell (virus_11137,host_59477): 0 -> 1
Cell (virus_11137,host_430491): 0 -> 1
Cell (virus_11137,host_188571): 0 -> 1
Cell (virus_11137,host_249024): 0 -> 1
Cell (virus_11137,host_302408): 0 -> 1
Cell (virus_11137,host_549403): 0 -> 1
Cell (virus_11137,host_3371112): 0 -> 1
Cell (virus_11137,host_9403): 0 -> 1
Cell (virus_11137,host_58057): 0 -> 1
Cell (virus_11137,host_77231): 0 -> 1
Cell (virus_11137,host_58067): 0 -> 1
Cell (virus_11137,host_1898393): 0 -> 1
Cell (virus_11137,host_58063): 0 -> 1
Cell (virus_11137,host_58060): 0 -> 1
Cell (virus_11137,host_9400): 0 -> 1
Cell (virus_11137,host_77233): 0 -> 1
Cell (virus_11137,host_187003): 0 -> 1
Cell (virus_11137,host_40233): 0 -> 1
Cell (virus_11137,host_40228): 0 -> 1
Cell (virus_11137,host_51012): 0 -> 1
Cell (virus_11137,host_27642): 0 -> 1
Cell (virus_11137,host_148061): 0 -> 1
Cell (virus_11137,host_9414): 0 -> 1
Cell (virus_11137,host_291302): 0 -> 1
Cell (virus_11137,host_187007): 0 -> 1
Cell (virus_11137,host_187008): 0 -> 1
Cell (virus_11137,host_479723): 0 -> 1
Cell (virus_11137,host_3041509): 0 -> 1
Cell (virus_11137,host_242384): 0 -> 1
Cell (virus_11137,host_999964): 0 -> 1
Cell (virus_11137,host_153297): 0 -> 1
Cell (virus_11137,host_258953): 0 -> 1
Cell (virus_11137,host_249033): 0 -> 1
Cell (virus_11137,host_909369): 0 -> 1
Cell (virus_11137,host_3371016): 0 -> 1
Cell (virus_11137,host_360967): 0 -> 1
Cell (virus_11137,host_526822): 0 -> 1
Cell (virus_1244203,host_105295): 0 -> 1
Cell (virus_1244203,host_51300): 0 -> 1
Cell (virus_1244203,host_59473): 0 -> 1
Cell (virus_1244203,host_109478): 0 -> 1
Cell (virus_1244203,host_109482): 0 -> 1
Cell (virus_1244203,host_203696): 0 -> 1
Cell (virus_1244203,host_452653): 0 -> 1
Cell (virus_1244203,host_98922): 0 -> 1
Cell (virus_1244203,host_452654): 0 -> 1
Cell (virus_1244203,host_633648): 0 -> 1
Cell (virus_1244203,host_186991): 0 -> 1
Cell (virus_1244203,host_157961): 0 -> 1
Cell (virus_1244203,host_334201): 0 -> 1
Cell (virus_1244203,host_249020): 0 -> 1
Cell (virus_1244203,host_302402): 0 -> 1
Cell (virus_1244203,host_188570): 0 -> 1
Cell (virus_1244203,host_76837): 0 -> 1
Cell (virus_1244203,host_430491): 0 -> 1
Cell (virus_1244203,host_188571): 0 -> 1
Cell (virus_1244203,host_249024): 0 -> 1
Cell (virus_1244203,host_519037): 0 -> 1
Cell (virus_1244203,host_549403): 0 -> 1
Cell (virus_1244203,host_3371112): 0 -> 1
Cell (virus_1244203,host_58057): 0 -> 1
Cell (virus_1244203,host_1898389): 0 -> 1
Cell (virus_1244203,host_77231): 0 -> 1
Cell (virus_1244203,host_498220): 0 -> 1
Cell (virus_1244203,host_77243): 0 -> 1
Cell (virus_1244203,host_58063): 0 -> 1
Cell (virus_1244203,host_77233): 0 -> 1
Cell (virus_1244203,host_1381355): 0 -> 1
Cell (virus_1244203,host_148094): 0 -> 1
Cell (virus_1244203,host_574064): 0 -> 1
Cell (virus_1244203,host_40229): 0 -> 1
Cell (virus_1244203,host_196700): 0 -> 1
Cell (virus_1244203,host_9423): 0 -> 1
Cell (virus_1244203,host_94961): 0 -> 1
Cell (virus_1244203,host_9414): 0 -> 1
Cell (virus_1244203,host_291302): 0 -> 1
Cell (virus_1244203,host_187008): 0 -> 1
Cell (virus_1244203,host_452595): 0 -> 1
Cell (virus_1244203,host_999964): 0 -> 1
Cell (virus_1244203,host_272799): 0 -> 1
Cell (virus_1244203,host_909369): 0 -> 1
Cell (virus_1244203,host_3371014): 0 -> 1
Cell (virus_1244203,host_3371016): 0 -> 1
Cell (virus_3433754,host_105295): 0 -> 1
Cell (virus_3433754,host_51300): 0 -> 1
Cell (virus_3433754,host_59473): 0 -> 1
Cell (virus_3433754,host_109478): 0 -> 1
Cell (virus_3433754,host_109482): 0 -> 1
Cell (virus_3433754,host_203696): 0 -> 1
Cell (virus_3433754,host_452653): 0 -> 1
Cell (virus_3433754,host_98922): 0 -> 1
Cell (virus_3433754,host_452654): 0 -> 1
Cell (virus_3433754,host_633648): 0 -> 1
Cell (virus_3433754,host_186991): 0 -> 1
Cell (virus_3433754,host_157961): 0 -> 1
Cell (virus_3433754,host_334201): 0 -> 1
Cell (virus_3433754,host_249020): 0 -> 1
Cell (virus_3433754,host_302402): 0 -> 1
Cell (virus_3433754,host_188570): 0 -> 1
Cell (virus_3433754,host_76837): 0 -> 1
Cell (virus_3433754,host_430491): 0 -> 1
Cell (virus_3433754,host_188571): 0 -> 1
Cell (virus_3433754,host_249024): 0 -> 1
Cell (virus_3433754,host_519037): 0 -> 1
Cell (virus_3433754,host_549403): 0 -> 1
Cell (virus_3433754,host_3371112): 0 -> 1
Cell (virus_3433754,host_58057): 0 -> 1
Cell (virus_3433754,host_1898389): 0 -> 1
Cell (virus_3433754,host_77231): 0 -> 1
Cell (virus_3433754,host_498220): 0 -> 1
Cell (virus_3433754,host_77243): 0 -> 1
Cell (virus_3433754,host_58063): 0 -> 1
Cell (virus_3433754,host_77233): 0 -> 1
Cell (virus_3433754,host_1381355): 0 -> 1
Cell (virus_3433754,host_148094): 0 -> 1
Cell (virus_3433754,host_574064): 0 -> 1
Cell (virus_3433754,host_40229): 0 -> 1
Cell (virus_3433754,host_196700): 0 -> 1
Cell (virus_3433754,host_9423): 0 -> 1
Cell (virus_3433754,host_94961): 0 -> 1
Cell (virus_3433754,host_9414): 0 -> 1
Cell (virus_3433754,host_291302): 0 -> 1
Cell (virus_3433754,host_187008): 0 -> 1
Cell (virus_3433754,host_452595): 0 -> 1
Cell (virus_3433754,host_999964): 0 -> 1
Cell (virus_3433754,host_272799): 0 -> 1
Cell (virus_3433754,host_909369): 0 -> 1
Cell (virus_3433754,host_3371014): 0 -> 1
Cell (virus_3433754,host_3371016): 0 -> 1
Cell (virus_3433753,host_105295): 0 -> 1
Cell (virus_3433753,host_51300): 0 -> 1
Cell (virus_3433753,host_109478): 0 -> 1
Cell (virus_3433753,host_59463): 0 -> 1
Cell (virus_3433753,host_386774): 0 -> 1
Cell (virus_3433753,host_203696): 0 -> 1
Cell (virus_3433753,host_98922): 0 -> 1
Cell (virus_3433753,host_452654): 0 -> 1
Cell (virus_3433753,host_155915): 0 -> 1
Cell (virus_3433753,host_225400): 0 -> 1
Cell (virus_3433753,host_186990): 0 -> 1
Cell (virus_3433753,host_186991): 0 -> 1
Cell (virus_3433753,host_157961): 0 -> 1
Cell (virus_3433753,host_249020): 0 -> 1
Cell (virus_3433753,host_302402): 0 -> 1
Cell (virus_3433753,host_188570): 0 -> 1
Cell (virus_3433753,host_76837): 0 -> 1
Cell (virus_3433753,host_608708): 0 -> 1
Cell (virus_3433753,host_430491): 0 -> 1
Cell (virus_3433753,host_188571): 0 -> 1
Cell (virus_3433753,host_249024): 0 -> 1
Cell (virus_3433753,host_2603866): 0 -> 1
Cell (virus_3433753,host_519037): 0 -> 1
Cell (virus_3433753,host_549403): 0 -> 1
Cell (virus_3433753,host_9403): 0 -> 1
Cell (virus_3433753,host_58057): 0 -> 1
Cell (virus_3433753,host_1410044): 0 -> 1
Cell (virus_3433753,host_1898389): 0 -> 1
Cell (virus_3433753,host_77231): 0 -> 1
Cell (virus_3433753,host_77243): 0 -> 1
Cell (virus_3433753,host_77233): 0 -> 1
Cell (virus_3433753,host_1381355): 0 -> 1
Cell (virus_3433753,host_907075): 0 -> 1
Cell (virus_3433753,host_208969): 0 -> 1
Cell (virus_3433753,host_574064): 0 -> 1
Cell (virus_3433753,host_9423): 0 -> 1
Cell (virus_3433753,host_94961): 0 -> 1
Cell (virus_3433753,host_9414): 0 -> 1
Cell (virus_3433753,host_291302): 0 -> 1
Cell (virus_3433753,host_187007): 0 -> 1
Cell (virus_3433753,host_452595): 0 -> 1
Cell (virus_3433753,host_999964): 0 -> 1
Cell (virus_3433753,host_3371014): 0 -> 1
Cell (virus_3433753,host_3371016): 0 -> 1
Cell (virus_3433753,host_360967): 0 -> 1
Cell (virus_3433753,host_867834): 0 -> 1
Cell (virus_3433753,host_526822): 0 -> 1
Cell (virus_3119326,host_105273): 0 -> 1
Cell (virus_3119326,host_105295): 0 -> 1
Cell (virus_3119326,host_9435): 0 -> 1
Cell (virus_3119326,host_412095): 0 -> 1
Cell (virus_3119326,host_526407): 0 -> 1
Cell (virus_3119326,host_98922): 0 -> 1
Cell (virus_3119326,host_452654): 0 -> 1
Cell (virus_3119326,host_587652): 0 -> 1
Cell (virus_3119326,host_155915): 0 -> 1
Cell (virus_3119326,host_225400): 0 -> 1
Cell (virus_3119326,host_155035): 0 -> 1
Cell (virus_3119326,host_2015597): 0 -> 1
Cell (virus_3119326,host_186990): 0 -> 1
Cell (virus_3119326,host_157961): 0 -> 1
Cell (virus_3119326,host_249020): 0 -> 1
Cell (virus_3119326,host_302402): 0 -> 1
Cell (virus_3119326,host_159858): 0 -> 1
Cell (virus_3119326,host_188570): 0 -> 1
Cell (virus_3119326,host_76837): 0 -> 1
Cell (virus_3119326,host_430491): 0 -> 1
Cell (virus_3119326,host_249024): 0 -> 1
Cell (virus_3119326,host_2603865): 0 -> 1
Cell (virus_3119326,host_519041): 0 -> 1
Cell (virus_3119326,host_302408): 0 -> 1
Cell (virus_3119326,host_49443): 0 -> 1
Cell (virus_3119326,host_59478): 0 -> 1
Cell (virus_3119326,host_519037): 0 -> 1
Cell (virus_3119326,host_3371112): 0 -> 1
Cell (virus_3119326,host_58057): 0 -> 1
Cell (virus_3119326,host_1410044): 0 -> 1
Cell (virus_3119326,host_1898389): 0 -> 1
Cell (virus_3119326,host_77231): 0 -> 1
Cell (virus_3119326,host_498220): 0 -> 1
Cell (virus_3119326,host_77243): 0 -> 1
Cell (virus_3119326,host_58063): 0 -> 1
Cell (virus_3119326,host_907075): 0 -> 1
Cell (virus_3119326,host_208969): 0 -> 1
Cell (virus_3119326,host_574064): 0 -> 1
Cell (virus_3119326,host_51012): 0 -> 1
Cell (virus_3119326,host_148061): 0 -> 1
Cell (virus_3119326,host_94961): 0 -> 1
Cell (virus_3119326,host_3371013): 0 -> 1
Cell (virus_3119326,host_9414): 0 -> 1
Cell (virus_3119326,host_291302): 0 -> 1
Cell (virus_3119326,host_9433): 0 -> 1
Cell (virus_3119326,host_438766): 0 -> 1
Cell (virus_3119326,host_258934): 0 -> 1
Cell (virus_3119326,host_3041509): 0 -> 1
Cell (virus_3119326,host_452595): 0 -> 1
Cell (virus_3119326,host_999964): 0 -> 1
Cell (virus_3119326,host_249033): 0 -> 1
Cell (virus_3119326,host_272799): 0 -> 1
Cell (virus_3119326,host_29078): 0 -> 1
Cell (virus_3119326,host_3371016): 0 -> 1
Cell (virus_3433752,host_105273): 0 -> 1
Cell (virus_3433752,host_412095): 0 -> 1
Cell (virus_3433752,host_386774): 0 -> 1
Cell (virus_3433752,host_98922): 0 -> 1
Cell (virus_3433752,host_452654): 0 -> 1
Cell (virus_3433752,host_155915): 0 -> 1
Cell (virus_3433752,host_225400): 0 -> 1
Cell (virus_3433752,host_2015597): 0 -> 1
Cell (virus_3433752,host_633648): 0 -> 1
Cell (virus_3433752,host_59453): 0 -> 1
Cell (virus_3433752,host_157961): 0 -> 1
Cell (virus_3433752,host_249020): 0 -> 1
Cell (virus_3433752,host_302402): 0 -> 1
Cell (virus_3433752,host_188570): 0 -> 1
Cell (virus_3433752,host_76837): 0 -> 1
Cell (virus_3433752,host_430491): 0 -> 1
Cell (virus_3433752,host_188571): 0 -> 1
Cell (virus_3433752,host_249024): 0 -> 1
Cell (virus_3433752,host_59478): 0 -> 1
Cell (virus_3433752,host_519037): 0 -> 1
Cell (virus_3433752,host_549403): 0 -> 1
Cell (virus_3433752,host_3371112): 0 -> 1
Cell (virus_3433752,host_124756): 0 -> 1
Cell (virus_3433752,host_58057): 0 -> 1
Cell (virus_3433752,host_1898389): 0 -> 1
Cell (virus_3433752,host_77231): 0 -> 1
Cell (virus_3433752,host_498220): 0 -> 1
Cell (virus_3433752,host_58071): 0 -> 1
Cell (virus_3433752,host_58083): 0 -> 1
